Year,REGIONCODE,ZONECODE,RK_NAME,WHEATAREA,WHEATOUTPUT,WHEATDAMAGE_WEATHER_AREA_P,WHEATDAMAGE_PESTS_AREA_P,WHEATDAMAGE_DROUGHT_AREA_P,WHEATOPH_W,WHEATDAMAGEAREA
2014,1,103,Awal,10.32757498882711,131.5728500187397,.025353657,.027362401,0,12.739956,.5444290321320295
2015,1,103,Awal,7.739460957003757,98.04659963771701,.89667541,.0056481841,.89667541,12.668402,6.983498109038919
2011,1,103,Mesanu,7.124598033726215,76.23319092392921,.13943277,0,0,10.699999,.9934024922549725
2012,1,103,Mesanu,9.624734023120254,136.4920393675566,.034745581,.038308851,0,14.181383,.7031294964253902
2013,1,103,Mesanu,9.653421938419342,52.71927046775818,.26477867,0,0,5.4612002,2.556020356714726
2014,1,103,Mesanu,15.65439006080851,165.2862813845277,.35543102,.10066507,0,10.558462,7.139906044467352
2015,1,103,Mesanu,10.47985488921404,76.33869966864586,.62898666,0,.62898666,7.284328,6.591689195483923
2011,1,103,Gebire Kidan,.6493850015103817,12.40326008200645,.12400702,.0047925343,0,19.10001,.0836405002046376
2012,1,103,Gebire Kidan,.4004109967499971,3.831190034747124,0,0,0,9.5681438,.0519249998033047
2013,1,103,Gebire Kidan,.2574759996496141,4.94096003472805,.29834795,.017686116,.081516333,19.189983,.0813711897935718
2014,1,103,Gebire Kidan,.369090998545289,4.637790061533451,0,.4772861,0,12.565438,.1761619988828898
2015,1,103,Gebire Kidan,.4678960042074323,5.92751007527113,0,0,0,12.668435,0
2011,1,103,Zarema,3.225562028121203,39.67441039532423,.35643768,.019052587,0,12.299999,1.291581556433812
2012,1,103,Zarema,1.405917006544769,28.82580009102821,.030523494,0,0,20.503202,.1080124992877245
2013,1,103,Zarema,1.475538996048272,22.60777986049652,.26511925,.019436456,0,15.32171,.4198730487842113
2014,1,103,Zarema,1.12611498683691,21.61827006936073,.16918392,0,0,19.197214,.1905205490766093
