"ZONENAME","ZONECODE","WOREDANAME","WOREDACODE","Year","REGIONCODE","RK_NAME","WHEATAREA","WHEATOUTPUT","WHEATDAMAGEAREA_P","WHEATDAMAGE_DROUGHT_AREA_P","WHEATOPH_W"
"Gamo Gofa",710,"Melekoza",71001,"01-01-2013",7,"Gayisa",1.11531799053773,9.25714993849397,0.0704038664698601,0,8.30000972747803
"Gamo Gofa",710,"Melekoza",71001,"01-01-2014",7,"Gayisa",0.629068992100656,7.29719995707273,0.0300702303647995,0,11.5999994277954
"Gamo Gofa",710,"Melekoza",71001,"01-01-2015",7,"Gayisa",0.516879999660887,6.25426999200135,0,0,12.1000423431396
"Kefa",709,"Gimbo",70904,"01-01-2010",7,"Kuti",0.499588012695312,2.34819996356964,0.182251676917076,0,4.70027303695679
"Kefa",709,"Gimbo",70904,"01-01-2011",7,"Kuti",0.375145003199577,2.77608004212379,0.0707479789853096,0,7.4000186920166
"Kefa",709,"Gimbo",70904,"01-01-2012",7,"Kuti",0.424628002569079,1.95329001173377,0.319018661975861,0,4.60000276565552
"Kefa",709,"Gimbo",70904,"01-01-2011",7,"Hufido",0.133611001074314,0.975359976291656,0.311160773038864,0,7.29999732971191
"Kefa",709,"Gimbo",70904,"01-01-2012",7,"Hufido",0.0440949983894825,0.202840000391006,0,0,4.60006809234619
"Kefa",709,"Gimbo",70904,"01-01-2011",7,"Keja Araba",0.0340479984879494,0.316650003194809,0,0,9.30010604858398
"Wolayita",706,"Bolossa Bonibe",70608,"01-01-2010",7,"ZABA",0.565849998034537,6.67710003256798,0.0383529216051102,0,11.800124168396
"Wolayita",706,"Bolossa Bonibe",70608,"01-01-2011",7,"ZABA",0.57812301046215,7.28434011340141,0.0201285891234875,0,12.599983215332
"Wolayita",706,"Bolossa Bonibe",70608,"01-01-2012",7,"ZABA",0.716777005232871,10.0070698559284,0.276789397001266,0,13.9612035751343
"Wolayita",706,"Bolossa Bonibe",70608,"01-01-2013",7,"ZABA",0.243270006030798,2.96789997816086,0.100000001490116,0,12.2000246047974
"Wolayita",706,"Bolossa Bonibe",70608,"01-01-2014",7,"ZABA",0.345733994618058,0.933480001986027,0,0,2.69999480247498
